		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		//InjectionVial,		*,		5, 		2
		Thermometer,			*,		5,		2
		DisinfectantSpray,		*,		8,		5
		//Syringe,				*,		8, 		5
		Heatpack,				*,		10,		5
		StartKitIV,				*,		10,		6
		SalineBag,				*,		15,		8
		BloodBagEmpty,			*,		18,		10
		FirstAidKit,			*,		20,		10
		//Defibrillator,		*,		35, 	20
		
	<Category> Medications
		CharcoalTablets,		*,		2,		1
		DisinfectantAlcohol,	*,		4,		2
		VitaminBottle,			*,		6,		4
		TetracyclineAntibiotics,*,		8,		5
		PainkillerTablets,		*,		10,		6
		Epinephrine,			*,		20,		10
		Morphine,				*,		25,		15	
		
	<Category> Money Exchange
		MoneyRuble1,			1,		1,		-1
		MoneyRuble5,			1,		5,		-1
		MoneyRuble10,			1,		10,		-1
		MoneyRuble25,			1,		25,		-1
		MoneyRuble50,			1,		50,		-1
		MoneyRuble100,			1,		100,	-1

	<Category> Medical Supplies
		Ibuprofen,						12,		2400,		1000
		Propital,						*,		3200,		1500
		AI2_Orange,						*,		5000,		2000
		Grizzly_Medikit,				5,		20000,		8000
		CmsKit,							5,		10000,		4000


<Trader> Misc Trader
	<Category> Tools (small)
		Screwdriver,			*,		3,		1
		Wrench,					*,		3,		1
		SewingKit,				*,		4, 		1
		Pliers,					*,		4, 		1
		LeatherSewingKit,		*,		5, 		2
		Whetstone,				*,		5,		2
		Hammer,					*,		7,		3
		Hacksaw,				*,		7,		3
		HandSaw,				*,		7,		3
		WeaponCleaningKit,		*,		8, 		3
		KitchenKnife,			*,		8,		4
		SteakKnife,				*,		9,		4
		HuntingKnife,			*,		9,		4
		CanOpener,				*,		10,		4
		Compass,				*,		10,		4
		OrienteeringCompass,	*,		10,		4
		Hatchet,				*,		10,		4
		CombatKnife,			*,		10,		5
		Machete,				*,		12,		6	
		ChernarusMap,			*,		15,		5
		Lockpick,				*,		20,		10
		Binoculars,				*,		30,		15		
		FishingRod,				*,		60,		25
		
	<Category> Tools (big)
		LugWrench,				*,		4,		1
		Crowbar,				*,		5,		3
		Shovel,					*,		6,		3
		Pickaxe,				*,		10,		4
		SledgeHammer,			*,		12,		6
		PipeWrench,				W,		15,		7
		WoodAxe,				*,		20,		8
		FirefighterAxe,			*,		30,		12
		
	<Category> Electronics
		Battery9V,				*,		8,		3
		PersonalRadio,			*,		10,		5
		Megaphone,				*,		30,		15
		ElectronicRepairKit,	*,		35,		17
		CableReel,				*,		40,		20
		BatteryCharger,			*,		40,		20
		BaseRadio,				*,		50,		30
		Rangefinder,			*,		60,		35
		NVGoggles,				*,		400,	220
		ExpansionGPS			*,		1000,	100
	
	<Category> Fire & Lights
		Chemlight_Blue,			*,		2,		1
		Chemlight_Green,		*,		2,		1
		Chemlight_Red,			*,		2,		1
		Chemlight_White,		*,		2,		1
		Chemlight_Yellow,		*,		2,		1
		Roadflare,				*,		4,		2
		Matchbox,				*,		6,		3
		Flashlight,				*,		15,		5
		PortableGasLamp,		*,		25,		10
		PortableGasStove,		*,		30,		15
		Headtorch_Black,		*,		40,		20
		Headtorch_Grey,			*,		40,		20
		Spotlight,				*,		600,	200
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,	*,		5,		2
		Pot,					M,		25,		10
		Tripod,					*,		35,		15
		BearTrap,				*,		50,		30
	
	<Category> Hardware Supplies
		Paper,					*,		1,		0
		Pen_Blue,				*,		2,		1
		Rope,					*,		4,		1
		TannedLeather,			*,		4,		1
		AntiPestsSpray,			*,		8,		4
		MetalWire,				*,		15,		6
		EpoxyPutty,				*,		15,		6
		DuctTape,				*,		20,		8
		XmasLights,				*,		25,		10
		HandcuffKeys,			*,		35,		12
		Handcuffs,				*,		50,		15
		Netting,				1,		50,		10
		BurlapSack,				*,		50,		10
		WoodenPlank,			10,		50,		15
		MetalPlate,				*,		60,		18
		SmallProtectorCase,		*,		70,		30
		AmmoBox,				*,		80,		35
		SmallGasCanister,		*,		80,		35
		MediumGasCanister,		*,		100,	40
		LargeGasCanister,		*,		200,	70
		CanisterGasoline,		*,		300,	80
		NailBox,				*,		300,	120
		BarbedWire,				*,		450,	200
		Camonet,				*,		600,	250
		HescoBox,				*,		650,	250
		CombinationLock,		*,		700,	300
		CombinationLock4,		*,		900,	400
		BarrelHoles_Blue,		*,		800,	300
		BarrelHoles_Green,		*,		800,	300
		BarrelHoles_Red,		*,		800,	300
		BarrelHoles_Yellow,		*,		800,	300
		Barrel_Blue,			M,		1500,	350
		Barrel_Green,			M,		1500,	350
		Barrel_Red,				M,		1500,	350
		Barrel_Yellow,			M,		1500,	350
		SeaChest,				*,		2000,	400
		PowerGenerator,			*,		3000,	1000
		MediumTent,				*,		3000,	500		
		CarTent,				*,		5000,	700
		LargeTent,				*,		7000,	1200
		CodeLock,				*,		100,	70
		RFSolarPanelKit,		*,		75000,	60000
	
	<Category> Seeds & Lime
		TomatoSeedsPack,		*,		4, 		1
		PepperSeedsPack,		*,		4, 		1
		ZucchiniSeedsPack,		*,		6, 		2
		PumpkinSeedsPack,		*,		10, 	3
		GardenLime,				*,		20,		7
		
	<Category> Fluffy Pets <3
		Bear_Beige,				*,		5,		1
		Bear_Dark,				*,		5,		1
		Bear_Pink,				*,		5,		1
		Bear_White,				*,		5,		1

	<Category> BBPItemPack
		BBP_Wall_Kit, 				*, 		200, 		100
		BBP_Door_Kit, 				*, 		200, 		100
		BBP_Floor_Kit, 				*, 		200, 		100
		BBP_Roof_Hatch_Kit, 		*, 		200, 		100
		BBP_Floor_Hatch_Kit, 		*, 		200, 		100
		BBP_Foundation_Kit, 		*, 		200, 		100
		BBP_Gate_Kit, 				*, 		200, 		100
		BBP_Half_Wall_Kit, 			*, 		200, 		100
		BBP_Pillar_Kit, 			*, 		200, 		100
		BBP_Ramp_Kit, 				*,		200, 		100
		BBP_Roof_Kit, 				*, 		200, 		100
		BBP_Hanger_Roof_Kit, 		*, 		200, 		100
		BBP_Slope_Roof_Kit, 		*, 		200, 		100
		BBP_Slope_Wall_Kit, 		*, 		200, 		100
		BBP_Stair_Kit, 				*, 		200, 		100
		BBP_Triangle_Floor_Kit, 	*, 		200, 		100
		BBP_Triangle_Roof_Kit, 		*, 		200, 		100
		BBP_Window_Kit, 			*, 		200, 		100
		// BBP_BuildPermit, 		*, 		200, 		1000
		BBP_Blueprint, 				*, 		200, 		100
		BBP_Workbench_Kit, 			*, 		300, 		150
		BBP_Step_Ladder_Kit, 		*, 		200, 		100
		BBP_TapeMeasure, 			*, 		200, 		100
		BBP_Concrete_Brick_Pile,	*, 		800, 		400
		BBP_Cement,					*, 		2000, 		1000
		BBP_Mortar_Mix, 			*, 		200, 		100
		BBP_Cement_Mixer_Kit, 		*, 		10000, 		5000 

	<Category> BishopsImmersiveStorages
		BIS_BookShelves_Kit, 			*, 		2500, 	1200
		BIS_BookShelves2_Kit, 			*, 		2500, 	1200
		BIS_Cabinet_Kit, 				*, 		2500, 	1200
		BIS_Cabinet2_Kit, 				*, 		2500, 	1200
		BIS_Counter_Kit, 				*, 		2500, 	1200
		BIS_EndtableSmall_Kit, 			*, 		2500, 	1200
		BIS_EndtableBig_Kit, 			*, 		2500, 	1200
		BIS_Fridge_Kit, 				*, 		2500, 	1200
		BIS_KitchenUnit_Kit, 			*, 		2500, 	1200
		BIS_LobbyChair_Kit, 			*,		2500, 	1200
		BIS_MetalCrate_Kit, 			*, 		2500, 	1200
		BIS_MetalCrate2_Kit, 			*, 		2500, 	1200
		BIS_MetalShelves_Kit, 			*,		2500, 	1200
		BIS_Oven_Kit, 					*, 		2500, 	1200
		BIS_OfficeDesk_Kit, 			*, 		2500, 	1200
		BIS_Sink_Kit, 					*, 		2500, 	1200
		BIS_WardrobeA_Kit, 				*, 		2500, 	1200
		BIS_WardrobeB_Kit, 				*, 		2500, 	1200
		BIS_WardrobeOld_Kit, 			*, 		2500, 	1200
		BIS_WoodenBox_Kit, 				*, 		2500, 	1200
		BIS_WoodStorage_Kit, 			*, 		2500,	1200
		BIS_SingleBed_Kit, 				*,		2500, 	1200 

	<Category> Furniture
		M_Kit_Gun_Rack, 				*, 		1000, 	100
		M_Kit_Gun_Wall, 				*, 		1000, 	100
		M_Kit_Shelf, 					*, 		1000, 	100
		M_Kit_WorkBenchTable, 			*, 		1000, 	100
		M_Kit_Medical_Bag, 				*, 		1000, 	100
		M_Kit_Fridge, 					*, 		1000, 	100
		M_Kit_Gas_Stove, 				*, 		1000, 	100
		M_Kit_Gun_Cabinet, 				*, 		1000, 	100
		M_Kit_Gun_Rack_Tan, 			*, 		1000, 	100
		M_Kit_Gun_Rack_Green, 			*, 		1000, 	100

	<Category> Furniture Tools
		M_WorkBench_ToolBox, 			*, 		1000, 	100
		M_WorkBench_BluePrint, 			*, 		1000, 	100
		M_Big_Gas_Canister, 			*, 		1000, 	100
		M_WorkBench_Hammer, 			*, 		1000, 	100 

		
<Trader> Weapon Trader
	<Category> Melee	
		BrassKnuckles_Shiny,	W,		15,		6
		StunBaton,				W,		15,		9
		Pipe,					W,		25,		10
		CattleProd,				W,		25,		15
		BaseballBat,			W,		35,		17
		NailedBaseballBat,		W,		45,		20
		
	<Category> Sidearms
		Flaregun,               W,		80,		40
		MakarovIJ70,			W,		100,	50
		CZ75,					W,		135,	70
		FNX45,					W,		175,	90
		Glock19,				W,		300,	130
		MKII,					W,		320,	160
		Colt1911,				W,		340,	180
		Engraved1911,			W,		340,	180
		
	<Category> Rifles
		Izh18,					W,		350,	175
		Mosin9130,				W,		400,	200
		CZ527,					W,		500,	250
		Winchester70,			W,		500,	250
		SKS,					W,		600,	300
		
	<Category> Shotguns
		Mp133Shotgun,			W,		500,	250
		Izh43Shotgun,			W,		900,	400
		Saiga,					W,		1500,	600
		
	<Category> Submachine Guns
		CZ61,					W,		700,	300
		UMP45,					W,		800,	350
		MP5K,					W,		1000,	450	
		AKS74U,					W,		1100,	600
		
	<Category> Assault Rifles
		FAL,					W,		1000,	450
		AKM,					W,		1500,	750
		AK101,					W,		1500,	750
		AK74,					W,		1600,	750
		M4A1,					W,		1500,	750
        AugShort				W,		1000,	700
		
	//<Category> Light Machine Guns
		
	<Category> Sniper Rifles
		VSS,					W,		1600,	960
		B95,					W,		1700,	1100
		SVD,					W,		2000,	1200
		
	<Category> Grenades
		RGD5Grenade,			1,		300,	100
		M67Grenade,				1,		300,	100
		M18SmokeGrenade_Red,	1,		300,	100
		M18SmokeGrenade_Green,	1,		300,	100
		M18SmokeGrenade_Yellow,	1,		300,	100
		M18SmokeGrenade_Purple,	1,		300,	100
		M18SmokeGrenade_White,	1,		300,	100
		RDG2SmokeGrenade_Black,	1,		300,	100
		RDG2SmokeGrenade_White,	1,		300,	100
		FlashGrenade,			1,		300,	100

	<Category> Pirulin Weapon Pack
		PirulinAZ, 			W, 		800, 	200
		PirulinDET, 		W, 		800, 	200
		PirulinG21, 		W, 		800, 	200
		PirulinM9SE, 		W, 		800, 	200
		PirulinCX8, 		W, 		7000, 	250
		PirulinKriss, 		W, 		7000, 	250
		PirulinP90, 		W, 		7000, 	250
		PirulinAA12, 		W, 		7000, 	250
		PirulinM590, 		W, 		7000, 	250
		PirulinXM1014, 		W, 		7000, 	250
		PirulinACR, 		W, 		7000, 	1500
		PirulinAK337, 		W, 		7000, 	1500
		PirulinG36, 		W, 		7000, 	1500
		PirulinG56, 		W, 		7000, 	1500
		PirulinM4A4, 		W, 		7000, 	1500
		PirulinSR25, 		W, 		7000, 	1500
		mag_psr25_20rnd, 	M, 		300, 	150
		PirulinT5000, 		W, 		10000, 	1000
		PirulinSIG550, 		W,	 	10000, 	1000

	<Category> SNAFU Weapons
		SNAFUAPS,                          W,		500,			200
		SN_Springfield,                    W,		1000,			500
		SN_Glock19,                        W,		1000,			500
		SN_Mp443,                          W,		1000,			500
		SN_M9,                             W,		1000,			500
		GCGN_Vityaz,                       W,		5000,			2000
		Tec9_Gun,                          W,		1500,			750
		SNAFUVECTOR_9mm_GUN,               W,		4000,			1500
		SNAFU_MP9_GUN,                     W,		3000,			1000
		SNAFU_Fort12_GUN,                  W,		1000,			500
		SNAFU_MPX_GUN,                     W,		3000,			1000
		SNAFU_Agram_GUN,                   W,		3000,			1000
		SNAFUKH9,                          W,		3000,			1000
		SNAFUSten,                         W,		3000,			1000
		SNAFU_PDW_9mm,	                   W,		3000,			1000
		SNAFUUzi,                          W,		4000,			1500
		SN_USP,                            W,		1000,			500
		SNAFUVECTOR_45acp_GUN,             W,		4000,			1500
		SNAFU_PDW_45ACP,	               W,		4000,			1500
		SNAFUThompsonMk2,                  W,		4000,			1500
		SNAFUSWM629,                       W,		3000,			1250
		SNAFUChiappaRhino,                 W,		3000,			1250
		SNAFUMagnum500,                    W,		5000,			1750
		GCGN_MP7,                          W,		4500,			2000
		SNAFUP90,                          W,		6000,			2000
		SNAFU_Trenchgun,                   W,		2000,			750
		SNAFU_TP82S,                       W,		2000,			750
		SN_Auto_Shotgun,                   W,		12000,			4000
		SN_M870,                           W,		3000,			1250
		VR80_Gun,                          W,		6000,			2500
		Spas12_Gun,                        W,		3000,			1000
		AA12_Gun,                          W,		12000,			4000
		SNAFUSR3_Vikhr,                    W,		16000,			4500
		GCGN_M1Garand,                     W,		8000,			4000
		SNAFU_M1918A2,                     W,		8000,			4000
		SNAFUMarlin1895,                   W,		7000,			3500
		SNAFU_AK12A,                       W,		8500,			3000
		SNAFU_RPK16_Black,                 W,		9000,			3250
		SNAFU_RPK16_Green,                 W,		9000,			3250
		SNAFU_RPK16_Tan,                   W,		9000,			3250
		SNAFU_AEK545_Gun,                  W,		9000,			3250
		SNAFU_U100,                        W,		15000,			6500
		GCGN_M4A1,                         W,		17000,			6000
		SNAFU_CZ805_Gun,                   W,		15000,			4500
		GCGN_HK416,                        W,		18000,			6500
		ACR_Gun,                           W,		17000,			6000
		M4_6933_Gun,                       W,		17000,			6000
		IA2_Gun,                           W,		17000,			6000
		SG550_Gun,                         W,		15000,			4500
		MK18_Gun,                          W,		17000,			6000
		SCAR_Gun,                          W,		17000,			6000
		SNAFU_CALI_GUN,                    W,		6000,			4000
		SNAFU_AK19,                        W,		15000,			4500
		SNAFUTAR21_Black,                  W,		3000,			2000
		SNAFUTAR21_Tan,                    W,		3000,			2000
		SNAFUTAR21_Green,                  W,		3000,			2000
		SNAFUFAMAS,                        W,		18000,			6000
		SNAFUMk12,                         W,		17000,			6000
		SNAFUSA80,                         W,		17000,			6000
		HK416_Gun,                         W,		17000,			6000
		SNAFUAUG,                          W,		17000,			6000
		SNAFUAUG_BK,                       W,		17000,			6000
		SNAFU_ADAR_Modular16_GUN,          W,		15000,			4500
		SNAFU_AR15_Modular16_GUN,          W,		15000,			4500
		SNAFU_LVOA556_GUN,                 W,		17000,			6000
		SNAFU_M4556_Modular14_GUN,         W,		17000,			6000
		SNAFU_M4556_Modular16_GUN,         W,		17000,			6000
		SNAFU_Saint556_Gun,                W,		15000,			5000
		GCGN_M249,                         W,		22500,			7500


		
	<Category> SNAFU Weapons 	
		SNAFUPPSh,                         W,		4000,			1500
		SNAFU_SKS,                         W,		8500,			3000
		GCGN_VEPR,                         W,		6000,			2500
		SNAFUPPSKN,                        W,		9000,			3250
		SNAFU_AK103A,                      W,		9000,			3250
		SNAFURPD,                          W,		16000,			5500
		SNAFU_MK4710Gun,                   W,		16000,			5500
		SNAFU_MK4716Gun,                   W,		16000,			5500
		SNAFU_KAC_Gun,                     W,		18000,			6000
		SNAFUHoneyBadger_Black,            W,		18000,			6000
		SNAFUHoneyBadger_Tan,              W,		18000,			6000
		SNAFU_AR15SPRBK,                   W,		18000,			6000
		SNAFU_AR15SPRTAN,                  W,		18000,			6000
		SNAFU_M4300AC_10_GUN,              W,		18000,			6000
		SNAFU_M4300AC_14_GUN,              W,		18000,			6000
		SNAFU_M4300AC_16_GUN,              W,		18000,			6000
		SNAFU_M4300AC_14DV_GUN,            W,		18000,			6000
		SNAFU_M14,                         W,		10000,			3500
		SNAFU_M76,                         W,		10000,			3500
		SNAFU_FRF2,                        W,		10000,			3500
		SNAFU_M48,                         W,		8500,			2500
		GCGN_M110_Black,                   W,		25000,			8000
		GCGN_M110_Green,                   W,		25000,			8000
		GCGN_M110_Tan,                     W,		25000,			8000
		SNAFU_SR25_Gun,                    W,		25000,			8000
		SNAFU_Saint_Gun,                   W,		25000,			8000
		SNAFURSASS_Wood_GUN,               W,		25000,			8000
		SNAFURSASS_od_GUN,                 W,		25000,			8000
		SNAFURSASS_dkmc_GUN,               W,		25000,			8000
		GCGN_M700,                         W,		20000,			6500
		SNHK417_Gun,                       W,		25000,			8000
		SNSA58_Gun,                        W,		30000,			10000
		SNAFUM1A_Black,                    W,		25000,			8000
		SNAFUM1A_Green,                    W,		25000,			8000
		SNAFUM1A_Tan,                      W,		25000,			8000
		SNAFU_AK308,                       W,		25000,			8000
		SNAFU_Saint_Gun,                   W,		22000,			7250
		Snafu_ScarH_Black_GUN,             W,		30000,			10000
		Snafu_ScarH_DKMC_GUN,              W,		30000,			10000
		Snafu_ScarH_OD_GUN,                W,		30000,			10000
		Snafu_ScarH_Snow_GUN,              W,		30000,			10000
		Snafu_ScarH_Tan_GUN,               W,		30000,			10000
		Snafu_pkp_Black_GUN,               W,		75000,			25000
		Snafu_pkp_NBlack_GUN,              W,		75000,			25000
		SNAFUM24_GUN,                      W,		90000,			30000
		SNAFU_AWM_Gun,                     W,		90000,			30000
		SNAFUM98B_Atac_GUN,                W,		90000,			30000
		SNAFUM98B_Digi_GUN,                W,		90000,			30000
		SNAFUM98B_Ger_GUN,                 W,		90000,			30000
		SNAFUM98B_Mc_GUN,                  W,		90000,			30000
		SNAFUM98B_Snow_GUN,                W,		90000,			30000
		SNAFUM98B_Wood_GUN,                W,		90000,			30000
		SNAFUT5000_Dkmcc_GUN,              W,		90000,			30000
		SNAFUT5000_Snow_GUN,               W,		90000,			30000
		SNAFUT5000_Wood_GUN,               W,		90000,			30000
		SNAFUSRSA2,                        W,		90000,			30000
		SNAFUTac21,                        W,		90000,			30000
		SNAFUDVL10M2,                      W,		90000,			30000
		SNAFU_MAR10_Black_GUN,             W,		90000,			30000
		SNAFUGevar_Grey,                   W,		95000,			30000
		SNAFUGevar_Black,                  W,		95000,			30000
		SNAFUGevar_Green,                  W,		95000,			30000
		SNAFUGevar_Tan,                    W,		95000,			30000
		SNAFUKivaari_Black_GUN,            W,		100000,			35000			
		SNAFUKivaari_Tan_GUN,              W,		100000,			35000
		SNAFUKivaari_Grey_GUN,             W,		100000,			35000
		SNAFUKivaari_Snow_GUN,             W,		100000,			35000
		SNAFU_M300BK,	                   W,		200000,			70000
		SNAFU_M300TAN,	                   W,		200000,			70000
		SNAFU_M300Green,                   W,		200000,			70000
		GCGN_M200,                         W,		200000,			70000
		SNAFU_M200Green,                   W,		200000,			70000
		SNAFU_M200SNOW,	                   W,		200000,			70000
		GCGN_M200_Tan,                     W,		200000,			70000
		SNAFUM96,                          W,		190000,			60000
		SNAFUGM6Lynx,                      W,		175000,			65000
		GCGN_M82_Barret,                   W,		175000,			65000
		SNAFUAX50_GUN,                     W,		200000,			75000
		SNAFU_AS50_GUN,                    W,		210000,			75000
		SNAFUASh12,                        W,		90000,			30000
		SNAFUVSSK,		                   W,		220000,			75000
		SNAFUAlligator,                    W,		225000,			80000
	
	<Category> SWP Guns
        SWP_ACR,                        W,       10000,    800
		SWP_LVOA,                       W,       10000,    800
		SWP_M14_EBR,                    W,       10000,    800
		SWP_Glock18,                    W,       10000,    800
		SWP_M416,                       W,       10000,    800
		SWP_M700,                       W,       10000,    1000
		SWP_HK_MP7,                     W,       10000,    800
		SWP_MPX,                        W,       10000,    800
		SWP_Sig_P226,                   W,       10000,    800
		SWP_PP19,                       W,       10000,    800
		SWP_RO991,                      W,       10000,    1200
		SWP_M417,                       W,       10000,    1200
		SWP_SASS,,                      W,       10000,    1500
		
		
<Trader> Weapon Supplies
	<Category> Ammunition
		Ammo_380,									1,		1,		1
		Ammo_380 (30 rounds),						30,		1,		1
		Ammo_9x19,									1,		1,		1
		Ammo_9x19 (30 rounds),						30,		1,		1
		Ammo_22,									1,		1,		1
		Ammo_22 (30 rounds),						30,		1,		1
		Ammo_45ACP,									1,		1,		1
		Ammo_12gaPellets,							1,		3,		1
		Ammo_12gaPellets (30 rounds),				30,		3,		1
		Ammo_12gaSlug,								1,		4,		2
		Ammo_12gaSlug (30 rounds),					30,		4,		2
		Ammo_9x39,									1,		4,		2
		Ammo_9x39 (30 rounds),						30,		4,		2
		Ammo_9x39AP,								1,		5,		3
		Ammo_9x39AP (30 rounds),					30,		5,		3
		Ammo_308Win,								1,		5,		3
		Ammo_308Win (30 rounds),					30,		5,		3
		Ammo_545x39,								1,		5,		3
		Ammo_545x39 (30 rounds),					30,		5,		3
		Ammo_556x45,								1,		5,		3
		Ammo_556x45 (30 rounds),					30,		5,		3
		Ammo_762x39,								1,		5,		3
		Ammo_762x39 (30 rounds),					30,		5,		3
		Ammo_762x54,								1,		1,		6		
		Ammo_762x54 (30 rounds),					30,		10,		6
		Ammo_556x45Tracer,							1,		10,		5
		Ammo_556x45Tracer (30 rounds),				30,		10,		5
		Ammo_545x39Tracer,							1,		10,		5
		Ammo_545x39Tracer (30 rounds),				30,		10,		5
		Ammo_308WinTracer,							1,		10,		5
		Ammo_308WinTracer (30 rounds),				30,		10,		5
		Ammo_762x39Tracer,							1,		10,		5
		Ammo_762x39Tracer (30 rounds),				30,		10,		5
		Ammo_Flare,									1,		15,		7
		Ammo_Flare (30 rounds),						30,		15,		7
	    Ammo_FlareBlue,								1,		15,		7
		Ammo_FlareBlue (30 rounds),					30,		15,		7
	    Ammo_FlareGreen,							1,		15,		7
		Ammo_FlareGreen (30 rounds),				30,		15,		7
	    Ammo_FlareRed,								1,		15,		7
		Ammo_FlareRed (30 rounds),					30,		15,		7
		Ammo_762x54Tracer,							1,		20,		12
		Ammo_762x54Tracer (30 rounds),				30,		20,		12			
		// When changing Prices here keep in Mind that Players
		// can just unpack the Ammoboxes and sell the Ammo seperatly!
		// Originally the Ammoboxes buying Price is 20% less than
		// buying single Ammo. The Selling Price is the same as
		// selling the Ammo seperately.
		AmmoBox_380_35rnd,					*,		28,		-1
		AmmoBox_9x19_25rnd,					*,		20,		-1
		AmmoBox_45ACP_25rnd,				*,		20,		-1
		AmmoBox_22_50Rnd,					*,		60,		20
		AmmoBox_00buck_10rnd,				*,		24,		10
		AmmoBox_12gaSlug_10Rnd,				*,		32,		20
		AmmoBox_9x39_20Rnd,					*,		32,		20
		AmmoBox_9x39AP_20Rnd,				*,		80,		60
		AmmoBox_308Win_20Rnd,				*,		80,		60
		AmmoBox_545x39_20Rnd,				*,		80,		60
		AmmoBox_556x45_20Rnd,				*,		80,		60
		AmmoBox_762x39_20Rnd,				*,		80,		60
		AmmoBox_762x54_20Rnd,				*,		200,	120		
		AmmoBox_308WinTracer_20Rnd,			*,		160,	80
		AmmoBox_545x39Tracer_20Rnd,			*,		160, 	80
		AmmoBox_556x45Tracer_20Rnd,			*,		160,	80
		AmmoBox_762x39Tracer_20Rnd,			*,		160,	80
